진료년도,진료월,시도,시군구,진료과목코드,진료과목명,진료인원(명),진료건수(건)
2022,01,서울특별시,강북구,21,재활의학과,1256,2963
2022,01,서울특별시,강북구,22,핵의학과,29,47
2022,01,서울특별시,강북구,23,가정의학과,5839,9107
2022,01,서울특별시,강북구,24,응급의학과,2226,3233
2022,01,서울특별시,강북구,25,직업환경의학과,41,64
2022,01,서울특별시,강북구,26,예방의학과,10,11
2022,01,서울특별시,강북구,49,치과,3524,4149
2022,01,서울특별시,강북구,50,구강악안면외과,4005,5966
2022,01,서울특별시,강북구,51,치과보철과,1681,2606
2022,01,서울특별시,강북구,52,치과교정과,21,22
2022,01,서울특별시,강북구,53,소아치과,1138,1294
2022,01,서울특별시,강북구,54,치주과,8837,11310
2022,01,서울특별시,강북구,55,치과보존과,9387,14121
2022,01,서울특별시,강북구,56,구강내과,315,387
2022,01,서울특별시,강북구,57,구강악안면방사선과,156,164
2022,01,서울특별시,강북구,59,예방치과,10,10
2022,01,서울특별시,강북구,61,통합치의학과,21,28
2022,01,서울특별시,강북구,71,의과,81,95
2022,01,서울특별시,도봉구,0,일반,572,717
2022,01,서울특별시,도봉구,1,내과,75634,130237
2022,01,서울특별시,도봉구,2,신경과,5306,7014
2022,01,서울특별시,도봉구,3,정신건강의학과,7907,11500
2022,01,서울특별시,도봉구,4,외과,8226,14236
2022,01,서울특별시,도봉구,5,정형외과,23516,54432
2022,01,서울특별시,도봉구,6,신경외과,3784,6683
2022,01,서울특별시,도봉구,7,심장혈관흉부외과,627,909
2022,01,서울특별시,도봉구,8,성형외과,387,796
2022,01,서울특별시,도봉구,9,마취통증의학과,4058,8555
2022,01,서울특별시,도봉구,10,산부인과,6973,11651
2022,01,서울특별시,도봉구,11,소아청소년과,4654,8753
2022,01,서울특별시,도봉구,12,안과,16647,21513
2022,01,서울특별시,도봉구,13,이비인후과,13998,22051
2022,01,서울특별시,도봉구,14,피부과,11962,17099
2022,01,서울특별시,도봉구,15,비뇨의학과,7236,10580
2022,01,서울특별시,도봉구,16,영상의학과,453,1425
2022,01,서울특별시,도봉구,17,방사선종양학과,241,1150
2022,01,서울특별시,도봉구,19,진단검사의학과,44,102
2022,01,서울특별시,도봉구,21,재활의학과,2152,5125
2022,01,서울특별시,도봉구,22,핵의학과,41,63
2022,01,서울특별시,도봉구,23,가정의학과,5973,8411
2022,01,서울특별시,도봉구,24,응급의학과,2320,3277
2022,01,서울특별시,도봉구,25,직업환경의학과,44,84
2022,01,서울특별시,도봉구,26,예방의학과,7,9
2022,01,서울특별시,도봉구,49,치과,3511,3996
2022,01,서울특별시,도봉구,50,구강악안면외과,4451,6449
2022,01,서울특별시,도봉구,51,치과보철과,1706,2500
2022,01,서울특별시,도봉구,52,치과교정과,29,31
2022,01,서울특별시,도봉구,53,소아치과,1129,1277
2022,01,서울특별시,도봉구,54,치주과,10197,12690
2022,01,서울특별시,도봉구,55,치과보존과,9580,14283
2022,01,서울특별시,도봉구,56,구강내과,350,420
2022,01,서울특별시,도봉구,57,구강악안면방사선과,320,330
2022,01,서울특별시,도봉구,59,예방치과,6,6
2022,01,서울특별시,도봉구,61,통합치의학과,111,132
2022,01,서울특별시,도봉구,71,의과,55,61
2022,01,서울특별시,노원구,0,일반,816,1059
2022,01,서울특별시,노원구,1,내과,107099,179916
2022,01,서울특별시,노원구,2,신경과,8177,11108
2022,01,서울특별시,노원구,3,정신건강의학과,12849,18658
2022,01,서울특별시,노원구,4,외과,11175,19797
2022,01,서울특별시,노원구,5,정형외과,39154,91065
2022,01,서울특별시,노원구,6,신경외과,4182,7065
2022,01,서울특별시,노원구,7,심장혈관흉부외과,757,1092
2022,01,서울특별시,노원구,8,성형외과,644,1386
2022,01,서울특별시,노원구,9,마취통증의학과,5115,10278
2022,01,서울특별시,노원구,10,산부인과,12284,20529
2022,01,서울특별시,노원구,11,소아청소년과,13774,31855
2022,01,서울특별시,노원구,12,안과,26200,33655
2022,01,서울특별시,노원구,13,이비인후과,23182,38567
2022,01,서울특별시,노원구,14,피부과,19845,29340
2022,01,서울특별시,노원구,15,비뇨의학과,9614,14097
2022,01,서울특별시,노원구,16,영상의학과,1167,1319
2022,01,서울특별시,노원구,17,방사선종양학과,354,1644
2022,01,서울특별시,노원구,19,진단검사의학과,88,153
2022,01,서울특별시,노원구,20,결핵과,16,19
2022,01,서울특별시,노원구,21,재활의학과,2761,6595
2022,01,서울특별시,노원구,22,핵의학과,132,210
2022,01,서울특별시,노원구,23,가정의학과,10511,15556
2022,01,서울특별시,노원구,24,응급의학과,3234,4265
2022,01,서울특별시,노원구,25,직업환경의학과,147,376
2022,01,서울특별시,노원구,27,그외 자료27,11,14
2022,01,서울특별시,노원구,49,치과,5486,6041
2022,01,서울특별시,노원구,50,구강악안면외과,6809,9903
2022,01,서울특별시,노원구,51,치과보철과,2270,3265
2022,01,서울특별시,노원구,52,치과교정과,54,54
2022,01,서울특별시,노원구,53,소아치과,2214,2448
2022,01,서울특별시,노원구,54,치주과,17379,21915
2022,01,서울특별시,노원구,55,치과보존과,16491,24256
2022,01,서울특별시,노원구,56,구강내과,640,815
2022,01,서울특별시,노원구,57,구강악안면방사선과,206,214
2022,01,서울특별시,노원구,59,예방치과,14,15
2022,01,서울특별시,노원구,61,통합치의학과,30,32
2022,01,서울특별시,노원구,71,의과,84,104
2022,01,서울특별시,은평구,0,일반,942,1148
2022,01,서울특별시,은평구,1,내과,106080,178759
2022,01,서울특별시,은평구,2,신경과,6660,8646
2022,01,서울특별시,은평구,3,정신건강의학과,12588,18941
2022,01,서울특별시,은평구,4,외과,9442,16692
2022,01,서울특별시,은평구,5,정형외과,40500,95937
2022,01,서울특별시,은평구,6,신경외과,5983,11260
2022,01,서울특별시,은평구,7,심장혈관흉부외과,657,990
2022,01,서울특별시,은평구,8,성형외과,782,1578
2022,01,서울특별시,은평구,9,마취통증의학과,4453,9505
2022,01,서울특별시,은평구,10,산부인과,12033,20853
2022,01,서울특별시,은평구,11,소아청소년과,6877,12022
2022,01,서울특별시,은평구,12,안과,25805,33323
2022,01,서울특별시,은평구,13,이비인후과,23436,38870
2022,01,서울특별시,은평구,14,피부과,19851,29791
2022,01,서울특별시,은평구,15,비뇨의학과,8733,12281
2022,01,서울특별시,은평구,16,영상의학과,637,769
2022,01,서울특별시,은평구,17,방사선종양학과,378,1543
2022,01,서울특별시,은평구,18,병리과,15,30
2022,01,서울특별시,은평구,19,진단검사의학과,88,150
2022,01,서울특별시,은평구,20,결핵과,7,11
2022,01,서울특별시,은평구,21,재활의학과,2616,7358
2022,01,서울특별시,은평구,22,핵의학과,17,31
2022,01,서울특별시,은평구,23,가정의학과,13083,20409
2022,01,서울특별시,은평구,24,응급의학과,3237,4429
2022,01,서울특별시,은평구,25,직업환경의학과,51,64
2022,01,서울특별시,은평구,26,예방의학과,5,7
2022,01,서울특별시,은평구,27,그외 자료27,6,8
2022,01,서울특별시,은평구,49,치과,6300,7008
2022,01,서울특별시,은평구,50,구강악안면외과,6860,10266
2022,01,서울특별시,은평구,51,치과보철과,2446,3613
2022,01,서울특별시,은평구,52,치과교정과,40,40
2022,01,서울특별시,은평구,53,소아치과,1979,2128
2022,01,서울특별시,은평구,54,치주과,16225,20897
2022,01,서울특별시,은평구,55,치과보존과,15169,22195
2022,01,서울특별시,은평구,56,구강내과,572,736
2022,01,서울특별시,은평구,57,구강악안면방사선과,181,190
2022,01,서울특별시,은평구,59,예방치과,16,19
2022,01,서울특별시,은평구,61,통합치의학과,109,143
2022,01,서울특별시,은평구,71,의과,80,97
2022,01,서울특별시,서대문구,0,일반,841,1005
2022,01,서울특별시,서대문구,1,내과,66263,113678
2022,01,서울특별시,서대문구,2,신경과,4943,6565
2022,01,서울특별시,서대문구,3,정신건강의학과,9322,14947
2022,01,서울특별시,서대문구,4,외과,4942,8271
2022,01,서울특별시,서대문구,5,정형외과,22852,52170
2022,01,서울특별시,서대문구,6,신경외과,3413,5963
2022,01,서울특별시,서대문구,7,심장혈관흉부외과,394,605
2022,01,서울특별시,서대문구,8,성형외과,574,1258
2022,01,서울특별시,서대문구,9,마취통증의학과,3674,7760
2022,01,서울특별시,서대문구,10,산부인과,8061,14818
2022,01,서울특별시,서대문구,11,소아청소년과,4177,7205
2022,01,서울특별시,서대문구,12,안과,16185,21483
2022,01,서울특별시,서대문구,13,이비인후과,15824,25960
2022,01,서울특별시,서대문구,14,피부과,13160,19912
2022,01,서울특별시,서대문구,15,비뇨의학과,5901,8407
2022,01,서울특별시,서대문구,16,영상의학과,340,411
2022,01,서울특별시,서대문구,17,방사선종양학과,226,1027
2022,01,서울특별시,서대문구,19,진단검사의학과,39,70
2022,01,서울특별시,서대문구,20,결핵과,5,7
2022,01,서울특별시,서대문구,21,재활의학과,2180,6258
2022,01,서울특별시,서대문구,22,핵의학과,17,31
2022,01,서울특별시,서대문구,23,가정의학과,8704,13645
2022,01,서울특별시,서대문구,24,응급의학과,2145,3024
2022,01,서울특별시,서대문구,25,직업환경의학과,47,65
2022,01,서울특별시,서대문구,26,예방의학과,8,8
2022,01,서울특별시,서대문구,27,그외 자료27,12,19
2022,01,서울특별시,서대문구,49,치과,3776,4137
2022,01,서울특별시,서대문구,50,구강악안면외과,4609,6752
2022,01,서울특별시,서대문구,51,치과보철과,1649,2425
2022,01,서울특별시,서대문구,52,치과교정과,33,34
2022,01,서울특별시,서대문구,53,소아치과,1257,1364
2022,01,서울특별시,서대문구,54,치주과,11098,13752
2022,01,서울특별시,서대문구,55,치과보존과,9549,14017
2022,01,서울특별시,서대문구,56,구강내과,385,482
